model,molecules,mins_per_ps
MACE-MP-0b3,64,3.6666666666666665
TensorNet,64,0.62
PaiNN,64,0.5
MACE-MP-0b3,216,10.733333333333333
TensorNet,216,0.7666666666666666
PaiNN,216,0.5933333333333334
MACE-MP-0b3,512,24.8
TensorNet,512,1.3333333333333333
PaiNN,512,0.6666666666666666
TensorNet,1000,2.4
PaiNN,1000,0.9866666666666667
TensorNet,1728,4.0
PaiNN,1728,1.54
TensorNet,3375,7.866666666666666
PaiNN,3375,2.8666666666666667
TensorNet,8000,18.666666666666668
PaiNN,8000,6.866666666666666
TensorNet,12167,28.466666666666665
PaiNN,12167,10.433333333333334
PaiNN,17576,15.0
PaiNN,27000,23.866666666666667
ACE,64,0.047428
ACE,216,0.086248
ACE,512,0.166263
ACE,1000,0.292326
ACE,1728,0.503849
ACE,3375,0.926045
ACE,8000,2.133333
ACE,12167,3.228700
ACE,17576,4.600639
ACE,27000,7.024390
ACE,42875,11.338583
ACE,64000,16.744186
ACE,166375,43.636364
ACE,4492125,1146.965044
