       3       5
       4      75
       5     242
       6     290
       7     278
       8     209
       9     135
      10      94
      11      65
      12      45
       3       6
       4      74
       5     238
       6     298
       7     253
       8     203
       9     127
      10      83
      11      79
      12      35
       3       2
       4      75
       5     242
       6     278
       7     260
       8     187
       9     157
      10     106
      11      80
      12      53
       3       2
       4      68
       5     248
       6     256
       7     276
       8     164
       9     142
      10      98
      11      62
      12      39
       3       6
       4      67
       5     254
       6     272
       7     271
       8     166
       9     110
      10     100
      11     102
      12      50
       3       6
       4      70
       5     240
       6     329
       7     292
       8     172
       9     150
      10     115
      11      71
      12      54
       3       2
       4      59
       5     265
       6     300
       7     248
       8     213
       9     165
      10      97
      11      70
      12      39
       3       6
       4      65
       5     272
       6     286
       7     279
       8     193
       9     151
      10      90
      11      54
      12      41
       3       6
       4      74
       5     252
       6     271
       7     295
       8     194
       9     138
      10     115
      11      72
      12      39
       3       4
       4      59
       5     263
       6     279
       7     272
       8     152
       9     144
      10      90
      11      85
      12      31
       3       1
       4      70
       5     230
       6     275
       7     284
       8     173
       9     131
      10     137
      11      89
      12      32
       3       4
       4      63
       5     255
       6     302
       7     281
       8     174
       9     166
      10      98
      11      67
      12      26
       3       3
       4      57
       5     256
       6     305
       7     279
       8     174
       9     163
      10     126
      11      42
      12      31
       3       2
       4      60
       5     255
       6     306
       7     262
       8     141
       9     135
      10      99
      11      71
      12      67
       3       1
       4      71
       5     265
       6     307
       7     283
       8     156
       9     113
      10     117
      11      80
      12      55
       3       4
       4      66
       5     278
       6     290
       7     264
       8     179
       9     139
      10     100
      11      61
      12      33
       3       3
       4      62
       5     270
       6     297
       7     249
       8     195
       9     145
      10     116
      11      73
      12      42
       3       6
       4      66
       5     253
       6     309
       7     254
       8     170
       9     130
      10     110
      11      75
      12      30
       3       3
       4      64
       5     256
       6     317
       7     238
       8     156
       9     165
      10      98
      11      66
      12      69
       3       3
       4      77
       5     247
       6     305
       7     226
       8     211
       9     134
      10      98
      11      77
      12      33
       3       4
       4      67
       5     249
       6     312
       7     235
       8     153
       9     129
      10     109
      11      66
      12      21
       3       2
       4      70
       5     240
       6     309
       7     261
       8     186
       9     148
      10     108
      11      66
      12      45
       3       6
       4      73
       5     260
       6     314
       7     241
       8     175
       9     148
      10      97
      11      77
      12      39
       3       2
       4      72
       5     272
       6     325
       7     259
       8     172
       9     173
      10      89
      11      73
      12      18
       3       2
       4      70
       5     261
       6     335
       7     232
       8     160
       9     122
      10      82
      11      65
      12      52
       3       1
       4      71
       5     247
       6     318
       7     276
       8     162
       9     142
      10      83
      11      63
      12      31
       3       5
       4      74
       5     236
       6     318
       7     266
       8     143
       9     143
      10     104
      11      58
      12      63
       3       3
       4      64
       5     228
       6     293
       7     235
       8     170
       9     124
      10      91
      11      70
      12      42
       3       5
       4      81
       5     229
       6     297
       7     280
       8     161
       9     130
      10     119
      11      61
      12      67
       3       1
       4      74
       5     263
       6     313
       7     272
       8     149
       9     141
      10     112
      11      71
      12      40
       3       2
       4      71
       5     239
       6     304
       7     277
       8     167
       9     165
      10      86
      11      82
      12      29
       3       5
       4      72
       5     249
       6     280
       7     224
       8     163
       9     171
      10      93
      11      85
      12      34
       3       0
       4      64
       5     229
       6     298
       7     250
       8     150
       9     124
      10     116
      11      95
      12      68
       3       5
       4      70
       5     251
       6     284
       7     279
       8     159
       9     149
      10      86
      11      72
      12      32
       3       5
       4      68
       5     252
       6     249
       7     244
       8     161
       9     147
      10     118
      11     141
      12      24
       3       1
       4      84
       5     244
       6     285
       7     244
       8     167
       9     144
      10      84
      11      84
      12      41
       3       2
       4      85
       5     218
       6     260
       7     249
       8     161
       9     138
      10     137
      11     111
      12      73
       3       5
       4      88
       5     217
       6     288
       7     259
       8     201
       9     152
      10     132
      11      92
      12      21
       3       4
       4      74
       5     220
       6     280
       7     253
       8     184
       9     127
      10     101
      11      80
      12      60
       3       3
       4      71
       5     262
       6     279
       7     269
       8     178
       9     155
      10     101
      11      63
      12      44
       3       2
       4      62
       5     224
       6     269
       7     222
       8     184
       9     164
      10     146
      11      85
      12      45
       3       3
       4      81
       5     254
       6     247
       7     267
       8     205
       9     167
      10      85
      11      68
      12      58
       3       3
       4      67
       5     229
       6     268
       7     274
       8     168
       9     157
      10     124
      11      64
      12      38
       3       3
       4      51
       5     258
       6     284
       7     226
       8     172
       9     174
      10      92
      11      77
      12      35
       3       2
       4      73
       5     248
       6     320
       7     246
       8     181
       9     123
      10     105
      11      79
      12      55
       3       6
       4      60
       5     220
       6     312
       7     280
       8     177
       9     151
      10     124
      11      62
      12      36
       3       3
       4      60
       5     242
       6     326
       7     317
       8     152
       9     121
      10      91
      11      72
      12      34
       3       4
       4      64
       5     238
       6     283
       7     282
       8     159
       9     146
      10      79
      11      75
      12      29
       3       4
       4      74
       5     236
       6     314
       7     271
       8     177
       9     144
      10      97
      11      58
      12      85
       3       1
       4      76
       5     225
       6     273
       7     275
       8     171
       9     157
      10     112
      11      85
      12      43
       3       1
       4      79
       5     236
       6     319
       7     246
       8     194
       9     160
      10      76
      11      79
      12      26
       3       6
       4      69
       5     234
       6     285
       7     263
       8     169
       9     144
      10     113
      11      77
      12      33
       3       2
       4      70
       5     234
       6     275
       7     250
       8     143
       9     161
      10      94
      11      94
      12      37
       3       3
       4      70
       5     245
       6     267
       7     259
       8     176
       9     118
      10     103
      11      83
      12      41
       3       3
       4      80
       5     247
       6     297
       7     274
       8     189
       9     135
      10     105
      11      71
      12      45
       3       6
       4      65
       5     232
       6     323
       7     237
       8     127
       9     149
      10     103
      11      77
      12      62
       3       5
       4      74
       5     273
       6     305
       7     241
       8     179
       9     148
      10     105
      11      79
      12      50
       3       8
       4      74
       5     246
       6     304
       7     251
       8     202
       9     138
      10      68
      11      81
      12      29
       3       3
       4      72
       5     228
       6     268
       7     235
       8     151
       9     168
      10     113
      11      80
      12      42
       3       1
       4      81
       5     227
       6     290
       7     271
       8     184
       9     133
      10      93
      11     108
      12      53
       3       2
       4      67
       5     216
       6     294
       7     285
       8     165
       9     162
      10      79
      11      65
      12      57
       3       1
       4      76
       5     221
       6     297
       7     192
       8     139
       9     162
      10     116
      11      84
      12      44
       3       3
       4      78
       5     216
       6     299
       7     264
       8     184
       9     159
      10     113
      11      71
      12      46
       3       3
       4      82
       5     229
       6     290
       7     245
       8     203
       9     130
      10     108
      11      71
      12      30
       3       8
       4      72
       5     231
       6     273
       7     249
       8     168
       9     130
      10     111
      11      94
      12      46
       3       4
       4      74
       5     254
       6     262
       7     233
       8     172
       9     135
      10      93
      11      81
      12      40
       3       2
       4      67
       5     226
       6     268
       7     267
       8     212
       9     134
      10     123
      11      83
      12      30
       3       2
       4      72
       5     235
       6     282
       7     232
       8     163
       9     132
      10      92
      11      64
      12      50
       3       4
       4      77
       5     242
       6     262
       7     250
       8     175
       9     173
      10     100
      11      58
      12      51
       3       2
       4      58
       5     254
       6     260
       7     255
       8     147
       9     117
      10      67
      11      78
      12      42
       3       8
       4      78
       5     239
       6     303
       7     267
       8     205
       9     144
      10     125
      11      74
      12      43
       3       6
       4      67
       5     261
       6     257
       7     215
       8     164
       9     145
      10     113
      11      60
      12      30
       3       6
       4      66
       5     246
       6     271
       7     257
       8     185
       9     121
      10      84
      11     100
      12      32
       3       5
       4      69
       5     236
       6     315
       7     234
       8     181
       9     155
      10      86
      11      74
      12      32
       3       4
       4      72
       5     231
       6     314
       7     317
       8     178
       9     158
      10      99
      11      62
      12      33
       3       6
       4      88
       5     224
       6     291
       7     230
       8     178
       9     176
      10     121
      11      80
      12      34
       3       4
       4      65
       5     248
       6     286
       7     251
       8     165
       9     119
      10      97
      11      72
      12      47
       3       2
       4      81
       5     260
       6     287
       7     290
       8     175
       9     152
      10      66
      11      62
      12      57
       3       4
       4      62
       5     234
       6     266
       7     219
       8     193
       9     133
      10      93
      11      96
      12      73
       3       3
       4      89
       5     232
       6     287
       7     263
       8     180
       9     140
      10     106
      11      68
      12      40
       3       7
       4      61
       5     214
       6     265
       7     285
       8     141
       9     125
      10      82
      11      50
      12      72
       3       1
       4      68
       5     243
       6     248
       7     244
       8     211
       9     131
      10     104
      11     109
      12      42
       3       5
       4      72
       5     255
       6     300
       7     234
       8     186
       9     147
      10      81
      11      71
      12      59
       3      10
       4      67
       5     252
       6     280
       7     236
       8     162
       9     173
      10      71
      11      72
      12      50
       3       3
       4      62
       5     234
       6     294
       7     243
       8     184
       9     143
      10      69
      11      82
      12      34
       3       5
       4      85
       5     233
       6     290
       7     242
       8     193
       9     161
      10      78
      11      98
      12      42
       3       4
       4      74
       5     235
       6     308
       7     247
       8     186
       9     167
      10     109
      11      90
      12      31
       3       2
       4      52
       5     223
       6     298
       7     243
       8     174
       9     122
      10     110
      11      72
      12      69
       3       5
       4      64
       5     238
       6     289
       7     234
       8     172
       9     159
      10      93
      11      85
      12      48
       3       2
       4      75
       5     245
       6     263
       7     297
       8     182
       9     125
      10      75
      11      80
      12      48
       3       6
       4      86
       5     207
       6     273
       7     262
       8     171
       9     174
      10     114
      11      96
      12      54
       3       2
       4      77
       5     271
       6     301
       7     285
       8     188
       9     135
      10     126
      11      69
      12      67
       3       7
       4      62
       5     262
       6     270
       7     249
       8     196
       9     128
      10     112
      11      53
      12      53
       3       5
       4      53
       5     247
       6     269
       7     229
       8     178
       9     131
      10      87
      11      72
      12      57
       3       1
       4      72
       5     241
       6     240
       7     229
       8     165
       9     136
      10     135
      11      71
      12      52
       3       4
       4      71
       5     233
       6     245
       7     209
       8     185
       9     128
      10      96
      11     100
      12      43
       3       5
       4      73
       5     239
       6     274
       7     256
       8     175
       9     124
      10     111
      11      85
      12      55
       3       2
       4      73
       5     240
       6     287
       7     281
       8     159
       9     152
      10     100
      11      59
      12      24
       3       2
       4      75
       5     222
       6     292
       7     274
       8     163
       9     152
      10     101
      11      75
      12      53
       3       4
       4      63
       5     241
       6     247
       7     219
       8     172
       9     167
      10      90
      11      81
      12      34
