x,Curve1
2.39886,0.02078
2.43556,0.05342
2.46121,0.11214
2.4853,0.18173
2.49982,0.24261
2.51121,0.32305
2.52737,0.39915
2.54033,0.47308
2.55018,0.56657
2.56638,0.65788
2.57462,0.74702
2.58284,0.82964
2.59426,0.9166
2.60409,1.00357
2.61231,1.08836
2.62063,1.20141
2.6337,1.30794
2.64199,1.4123
2.65039,1.55361
2.66847,1.73189
2.68473,1.8406
2.69307,1.96234
2.70462,2.09279
2.71771,2.20367
2.73396,2.3102
2.7518,2.41674
2.77601,2.52328
2.81443,2.59506
2.85878,2.5277
2.87445,2.45163
2.89013,2.37773
2.90263,2.306
2.91196,2.23862
2.92597,2.14081
2.9353,2.07125
2.94937,1.993
2.96028,1.92127
2.96643,1.85171
2.97892,1.77563
2.9914,1.69738
3.00546,1.61479
3.01638,1.54741
3.02733,1.48655
3.03987,1.42786
3.05555,1.35396
3.07287,1.29528
3.09014,1.22138
3.12013,1.14532
3.14224,1.09099
3.17707,1.03668
3.22462,0.97585
3.27063,0.93241
3.30233,0.89113
3.34996,0.85639
3.38495,0.8499
3.43268,0.84777
3.50115,0.86087
3.62536,0.88707
3.69066,0.90451
3.7512,0.92848
3.80218,0.94591
3.86431,0.96771
3.9121,0.98297
3.98378,1.00477
4.03159,1.02655
4.10009,1.04835
4.14151,1.06143
4.20364,1.08322
4.25141,1.09413
4.30556,1.10722
4.34537,1.11595
4.39948,1.11817
4.47909,1.12911
4.56339,1.11832
4.63815,1.10751
4.69541,1.09887
4.78928,1.09025
4.84812,1.07943
4.91011,1.05557
4.97368,1.03172
5.03409,1.0122
5.10247,0.99487
5.15174,0.97752
5.21055,0.95366
5.27733,0.93633
5.35524,0.91683
5.45065,0.893
5.53975,0.8909
5.59862,0.88661
5.66865,0.88884
5.70528,0.89757
5.75942,0.91066
5.8247,0.92159
5.88204,0.93685
5.93141,0.94994
5.97917,0.95433
6.03014,0.96959
6.07634,0.98485
6.12888,0.99359
6.18779,1.00451
